Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HTTP_Methods,,,2018-11-29 10:24:17,2018-11-29 10:24:27,9.760s,PASSED
,,,,,,
Test Cases/HTTP_Methods,,,2018-11-29 10:24:18,2018-11-29 10:24:27,9.041s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestServices/List_User""))",,,2018-11-29 10:24:19,2018-11-29 10:24:24,5.345s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestServices/Create_User""))",,,2018-11-29 10:24:24,2018-11-29 10:24:25,1.189s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestServices/Update_User""))",,,2018-11-29 10:24:25,2018-11-29 10:24:26,1.052s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestServices/Delete_User""))",,,2018-11-29 10:24:26,2018-11-29 10:24:27,0.842s,PASSED
